title,price,link,location
Ноутбук Asus m509dj,30 000 ₽,https://www.avito.ru/novosibirsk/noutbuki/noutbuk_asus_m509dj_4365006359?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RldwZXYwNkVlbGdxTkRaIjt9CRy45T8AAAA,"Маршала Покрышкина, 6–10 мин."
Ноутбук irbis Blizzard 15NBC1009G,34 990 ₽,https://www.avito.ru/novosibirsk/noutbuki/noutbuk_irbis_blizzard_15nbc1009g_4484813579?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RldwZXYwNkVlbGdxTkRaIjt9CRy45T8AAAA,
Ноутбук,44 500 ₽,https://www.avito.ru/novosibirsk/noutbuki/noutbuk_4626102058?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RldwZXYwNkVlbGdxTkRaIjt9CRy45T8AAAA,"Студенческая, 6–10 мин."
Игровой ноутбук Dell G3 3590(i5-9300H/GTX 1650),39 900 ₽,https://www.avito.ru/novosibirsk/noutbuki/igrovoy_noutbuk_dell_g3_3590i5-9300hgtx_1650_4650336305?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RldwZXYwNkVlbGdxTkRaIjt9CRy45T8AAAA,"Площадь Гарина-Михайловского, до 5 мин."
Ноутбук redmi,43 000 ₽,https://www.avito.ru/novosibirsk/noutbuki/noutbuk_redmi_4244018933?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RldwZXYwNkVlbGdxTkRaIjt9CRy45T8AAAA,"Заельцовская, до 5 мин."
Ноутбук Acer Nitro 5AN515-58 Core i5-12450H/8Gb(ус,52 000 ₽,https://www.avito.ru/novosibirsk/noutbuki/noutbuk_acer_nitro_5an515-58_core_i5-12450h8gbus_4795273986?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RldwZXYwNkVlbGdxTkRaIjt9CRy45T8AAAA,
Ноутбук Honor Magicbook X16,55 990 ₽,https://www.avito.ru/novosibirsk/noutbuki/noutbuk_honor_magicbook_x16_4761722346?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RldwZXYwNkVlbGdxTkRaIjt9CRy45T8AAAA,
Ноутбук 2024г /N95/ram16gb/ssd/Fullhd 165hz,30 000 ₽,https://www.avito.ru/novosibirsk/noutbuki/noutbuk_2024g_n95ram16gbssdfullhd_165hz_4516121489?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RldwZXYwNkVlbGdxTkRaIjt9CRy45T8AAAA,
Ноутбук msi katana 17,50 000 ₽,https://www.avito.ru/novosibirsk/noutbuki/noutbuk_msi_katana_17_4360277668?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RldwZXYwNkVlbGdxTkRaIjt9CRy45T8AAAA,
New ноутбук Acer Aspire 15 Core i7-150U/16/512GB,49 999 ₽,https://www.avito.ru/novosibirsk/noutbuki/new_noutbuk_acer_aspire_15_core_i7-150u16512gb_4557288690?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RldwZXYwNkVlbGdxTkRaIjt9CRy45T8AAAA,
Ноутбук acer,37 000 ₽,https://www.avito.ru/novosibirsk/noutbuki/noutbuk_acer_4532026504?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RldwZXYwNkVlbGdxTkRaIjt9CRy45T8AAAA,"Заельцовская, 21–30 мин."
"Ноутбук infinix Inbook Y3 plus YL5145 (новый, чек)",37 000 ₽,https://www.avito.ru/novosibirsk/noutbuki/noutbuk_infinix_inbook_y3_plus_yl5145_novyy_chek_4447993066?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RldwZXYwNkVlbGdxTkRaIjt9CRy45T8AAAA,"Площадь Гарина-Михайловского, до 5 мин."
Игровой ноутбук Alpha 15 MSI Ryzen 5 5600/RX 6600M,65 000 ₽,https://www.avito.ru/novosibirsk/noutbuki/igrovoy_noutbuk_alpha_15_msi_ryzen_5_5600rx_6600m_4573919325?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RldwZXYwNkVlbGdxTkRaIjt9CRy45T8AAAA,"Октябрьская, 6–10 мин."
"Honor MagicBook X16 Ноутбук 16"", AMD Ryzen 7640HS",52 000 ₽,https://www.avito.ru/novosibirsk/noutbuki/honor_magicbook_x16_noutbuk_16_amd_ryzen_7640hs_4977965915?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RldwZXYwNkVlbGdxTkRaIjt9CRy45T8AAAA,р-н Первомайский
Ноутбук Lenovo V15 G3 - 8 Гб / SSD 256 Гб,36 200 ₽,https://www.avito.ru/novosibirsk/noutbuki/noutbuk_lenovo_v15_g3_-_8_gb_ssd_256_gb_4644481481?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RldwZXYwNkVlbGdxTkRaIjt9CRy45T8AAAA,
